slang;normal
Hapal,hafal
hapal,hafal
hape,hp
Hembus,embus
hembus,embus
Himbau,Imbau
Hipotesa,Hipotesis
Hirarki,Hierarki
Hisap,Isap
hnya,hanya
Hozz,Rumah
hr,hari
hrg,harga
hrga,harga
hrganya,harganya
hri,hari
hrs,harus
hrsnya,harusnya
hrus,harus
htl,hotel
Hufft,Mengeluh
Humz,Rumah
Hutang,Utang
Ihlas,Ikhlas
Ijasah,Ijazah
Ijin,Izin
ikln,iklan
ilang,hilang
Ilmiawan,Ilmuwan
Imoeth,Imut
Imoetz,Imut
Import,Impor
indoneia,indonesia
Inich,Ini
inimah,ini
Iniyh,Ini
instant,instan
Insyaf,Insaf
intl,internasional
Isteri,Istri
itung,hitung
Iy,Ya
Ja,Aja
Jadual,Jadwal
Jaman,Zaman
jawaaab,jawab
jawan,jawab
jd,jadi
jdi,jadi
Jenasah,Jenazah
Jendral,Jenderal
jg,juga
jga,juga
jgn,jangan
jgn,jangan
jiwaaaaaaaaa,jiwa
jngn,jangan
joooooos,jos
josssss,jos
jt,juta
Kaedah,Kaidah
kaga,tidak
kagak,tidak
kakagg,Kakak
kalo,kalau
kalok,kalau
Kaluw,Karena
Kammooh,Kamu
Kamuh,Kamu
Kamuwh,Kamu
Kamyu,Kamu
Kangedh,Kangen
Kangeunnd,Kangen
Karir,Karier
karna,karena
karuds,kardus
kasian,kasihan
kasihin,kasihkan
kayak,seperti
kebeli,terbeli
kebnyakan,kebanyakan
kecee,kece
kelewat,terlewat
kepake,terpakai
kereen,keren
kerim,kirim
kesalahan2,kesalahan
kesikian,kesekian
ketjup,kecup
khidupan,kehidupan
Khutbah,Khotbah
Khuzuz,Khusus
kjlsn,kejelasan
Klianz,Kalian
klo,kalau
klo,kalau
klu,kalau
Klw,Karena
kmarin,kemarin
kmn,kemana
kmr,kamar
knp,kenapa
komen2,komentar
Komplek,Kompleks
Kondite,Konduite
Konkrit,Konkret
konperensi,Konferesi
Konsepsionil,Konsepsional
Koordinir,Koordinasi
Krang,Kurang
kren,keren
Krent,Keren
Krenz,Keren
kriginal,original
krim,kirim
krm,kirim
krn,karena
krna,karena
kta,kata
ktay,katanya
ktiga,ketiga
ktmu,ketemu
ktmu,ketemu
ktnya,katanya
kualitasntidak,kualitas tidak
kulaitasbagudd, kualitas bagus
kuranng,kurang
kw ,palsu
Kwalitas,Kualitas
kwalitas,kualitas
Kwantitas,Kuantitas
Kwitansi,Kuitansi
ky,seperti
kyaknya,kayaknya
lamaaaa,lama
lamaaaaaaaaaaa,lama
lamain,lama
lambaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaat,lambat
lambaatt,lambat
langanan,langganan
langsgng,langsung
lbh,lebih
lbih,lebih
Leh,Boleh
leletttttttt,lambat
lemot,lelet
lepasin,lepaskan
lg,Sedang
lgi,Sedang
lgi,lagi
lho,loh
lma,lama
lngsg,langsung
Lo,Kamu
Lobang,Lubang
Loch,Loh
Lochkz,Loh
Lochx,Loh
Lom,Belum
Louph,Cinta
Loupz,Cinta
Love,Cinta
Low,Karena
lsg,langsung
Luchuw,Lucu
Luff,Cinta
Lum,Belum
Luph,Cinta
Lupz,Ya
Lupz,Lupa
Luthu,Lucu
Lw,Kamu
Maav,Maaf
Maen,Main
makasih,terima kasih
malem,malam
Mamz,Makan
Managemen,Manajemen
Manager,Manajer
Manies,Manis
Maniezt,Manis
mantaaaaaabbbbb,mantap
mantaaaaaabbbbb ,mantap
mantaaaapp,mantap
mantab,mantap
mantabs,mantap
mantaffff,mantap
mantapp,mantap
mantappp,mantap
mantapppp ,mantap
mantapppppp,mantap
mantapss,mantap
mantep,mantap
mantul,mantap betul
mantull,mantap betul
masi,masih
masi,masih
melakukab,melakukan
melkukan,melakukan
Melola,Mengelola
memg,memang
Memproklamirkan,Memproklamasikan
Mendifinisikan,Mendefinisikan
mendokkrak,mendongkrak
mendptkan,mendapatkan
Mengenyampingkan,Mengesampingkan
mengerim,mengirim
Mengeritik,Mengkritik
Mengobah,Mengubah
